Model,HR@5,HR@10,HR@20,MRR
ALS,0.3848768498666527,0.4653558542069759,0.5601631543167913,0.29512118527041115
BPR,0.25545155048894,0.36432568111697955,0.506353605605815,0.19048831928958776
SVD,0.40955916958636196,0.5139883909428437,0.6183653192490718,0.2995664240458686
NCF,0.4171939549233907,0.5201066778225174,0.6302881347068975,0.30951165289690047
