Model,HR@5,HR@10,HR@20,MRR
1. Pure CF (NCF),0.4171939549233907,0.5201066778225174,0.6302881347068975,0.30951165289690047
2. Pure CBF (TF-IDF),0.14307378549390787,0.23123986822151335,0.37415677456466034,0.11367167616711701
3. Cascade CF -> CBF (k=50),0.17931286931966742,0.29090623856089526,0.36850912513726924,0.1296588714231494
4. Cascade CF -> CBF (k=20),0.2614129582178528,0.4139517858076662,0.4781153584688595,0.1741386372336989
5. Cascade CBF -> CF (k=50),0.35083407415154527,0.4309470271400931,0.49328034304240964,0.2670700882726252
6. Cascade CBF -> CF (k=20),0.24896721225749097,0.29927312660147465,0.3774512367306385,0.20273543160722585
"7. Cascade CF -> CBF -> Nutrition Filter (k=50, 20)",0.07164147884746118,0.12079694608586519,0.21502902264289075,0.06708044648821589
"8. Cascade CF -> CBF -> Nutrition Rerank (k=50, 20)",0.14009308162945144,0.2704596559117293,0.3509386602520525,0.10035137907408603
